Word 1,Word 2,Human (Mean),Cosine Similarity
admission,ticket,5.536,0.14007773995399475
alcohol,chemistry,4.125,0.28844577074050903
aluminum,metal,6.625,0.3051415979862213
announcement,effort,2.0625,0.20343180000782013
announcement,news,7.1875,0.25800907611846924
announcement,production,1.6875,0.09203769266605377
announcement,warning,4.625,0.2656312584877014
architecture,century,1.929,0.09136216342449188
arrival,hotel,2.1875,0.17679138481616974
atmosphere,landscape,3.5625,0.2197914570569992
attempt,peace,0.9375,0.2326895147562027
baby,mother,5.25,0.3783087730407715
bank,money,6.625,0.13396750390529633
baseball,season,3.2565,0.2720097601413727
bed,closet,2.25,0.37002837657928467
bird,cock,5.875,0.28254780173301697
bird,crane,4.8125,0.2247260957956314
bishop,rabbi,5.375,0.17348612844944
board,recommendation,1.25,0.2618253231048584
book,library,5.3125,0.24796493351459503
book,paper,5.875,0.21516814827919006
boy,lad,7.844,0.2524716854095459
bread,butter,4.1875,0.558336615562439
brother,monk,4.25,0.22317056357860565
calculation,computation,8.0565,0.23589187860488892
canyon,landscape,5.25,0.4068715572357178
car,automobile,9.369,0.24328255653381348
car,flight,2.4375,0.15805654227733612
cell,phone,6.25,0.0779348686337471
century,nation,2.1875,0.3409585952758789
century,year,4.0,0.31013157963752747
championship,tournament,7.5,0.3564295172691345
change,attitude,3.375,0.19449925422668457
chord,smile,0.8125,0.3392711877822876
closet,clothes,4.625,0.30129942297935486
coast,forest,2.125,0.279049813747406
coast,hill,2.3125,0.3867078125476837
coast,shore,8.2755,0.398762047290802
company,stock,3.75,0.3013466000556946
competition,price,3.0,0.3392368257045746
computer,keyboard,5.9375,0.007942603901028633
computer,laboratory,3.375,0.1499783992767334
computer,news,1.6875,0.10549565404653549
concert,virtuoso,3.6875,0.1047251746058464
consumer,confidence,1.6875,0.10695409029722214
consumer,energy,2.75,0.1556498259305954
country,citizen,4.3125,0.20793752372264862
crane,implement,2.125,0.0714065358042717
credit,card,4.5625,0.19808797538280487
credit,information,3.644,0.3194035291671753
cup,article,1.3125,0.18174998462200165
cup,coffee,5.0625,0.4225892424583435
cup,drink,4.75,0.4891033172607422
cup,entity,1.375,0.21087482571601868
cup,food,1.875,0.10863842070102692
cup,liquid,3.75,0.21551360189914703
cup,object,4.25,0.08291740715503693
cup,substance,1.9375,0.09867998957633972
currency,market,4.3125,0.20779037475585938
day,dawn,4.625,0.17207364737987518
day,summer,3.125,0.4071946144104004
death,row,1.6875,0.19142961502075195
delay,news,1.4375,0.17315077781677246
development,issue,3.3125,0.07548245042562485
direction,combination,2.0625,0.118038110435009
disability,death,2.3125,0.10506801307201385
disaster,area,1.625,0.03518988937139511
discovery,space,3.9375,0.06052979826927185
dividend,calculation,5.1875,0.09600403904914856
dividend,payment,5.5,0.28036701679229736
doctor,liability,2.5,0.11663471162319183
doctor,nurse,6.125,0.26320672035217285
doctor,personnel,3.5625,0.1264188438653946
dollar,buck,8.5625,0.13601641356945038
dollar,loss,2.1875,0.1283121556043625
dollar,profit,5.375,0.23010185360908508
dollar,yen,6.3125,0.22055888175964355
drink,car,0.3125,0.30146506428718567
drink,ear,0.375,0.37076014280319214
drink,eat,4.125,0.30826854705810547
drink,mother,0.5625,0.28256955742836
drink,mouth,4.7375,0.32299795746803284
drug,abuse,4.9375,0.2147226482629776
energy,crisis,3.0505,0.19166576862335205
energy,laboratory,2.7565,0.20345711708068848
energy,secretary,1.0625,0.06457363814115524
equipment,maker,2.5625,0.005376006942242384
experience,music,2.3125,0.1552067995071411
family,planning,1.75,0.017444415017962456
FBI,fingerprint,4.0625,0.16862556338310242
FBI,investigation,5.0625,0.13773059844970703
fertility,egg,5.1875,0.06802012026309967
fighting,defeating,5.5,0.21169805526733398
five,month,1.069,0.22371411323547363
focus,life,2.3125,0.14316192269325256
food,fruit,7.0625,0.2090630680322647
food,preparation,3.75,0.19173569977283478
food,rooster,2.5625,0.08320093154907227
football,basketball,4.125,0.36566153168678284
football,soccer,8.5625,0.3486389219760895
football,tennis,3.6875,0.43204984068870544
forest,graveyard,1.394,0.2698655426502228
fuck,sex,8.25,0.27138933539390564
furnace,stove,8.0625,0.3030858039855957
game,defeat,3.6875,0.2408357560634613
game,round,5.1875,0.0925154760479927
game,series,4.5625,0.24922096729278564
game,team,4.625,0.29764190316200256
game,victory,4.6875,0.2582310140132904
glass,magician,1.0,0.14295776188373566
glass,metal,2.1875,0.3693711459636688
government,crisis,3.625,0.16507680714130402
governor,interview,1.625,0.16461946070194244
governor,office,4.3125,0.1961778700351715
grocery,money,3.375,0.09764321148395538
Harvard,Yale,4.875,0.3850657641887665
holy,sex,1.069,0.1463409662246704
hotel,reservation,5.0625,0.16228747367858887
hundred,percent,4.4375,0.28166016936302185
image,surface,1.8125,0.11966574192047119
investigation,effort,3.75,0.30540385842323303
jaguar,car,5.3125,0.22570711374282837
jaguar,cat,6.4375,0.4752868711948395
Japanese,American,3.125,0.07349324226379395
Jerusalem,Israel,6.4375,0.15753495693206787
journal,association,2.625,0.26654741168022156
journey,car,4.0625,0.15254364907741547
journey,voyage,7.5,0.40945395827293396
king,cabbage,0.625,0.27249202132225037
king,queen,5.6875,0.322057843208313
lad,brother,4.9375,0.15432482957839966
lad,wizard,1.6875,0.3752935230731964
law,lawyer,6.1875,0.16516180336475372
lawyer,evidence,3.9375,0.04582218453288078
liability,insurance,4.375,0.25670307874679565
life,death,4.375,0.14920657873153687
life,lesson,3.1875,0.15041770040988922
life,term,3.8125,0.08990529924631119
line,insurance,1.3125,-0.0833161398768425
liquid,water,7.0625,0.2509799897670746
listing,category,5.375,0.12217192351818085
listing,proximity,1.4375,0.0660652443766594
love,sex,6.375,0.19784143567085266
lover,quarrel,1.6875,0.18492341041564941
luxury,car,3.3125,0.18629257380962372
magician,wizard,7.6875,0.1721186339855194
man,governor,4.25,0.14467334747314453
man,woman,4.5,0.46533307433128357
Mars,scientist,4.375,-0.06052655354142189
Mars,water,1.5625,0.19496731460094452
media,gain,1.375,0.09694350510835648
media,radio,6.4375,0.07944390177726746
media,trading,1.8125,0.2901310324668884
Mexico,Brazil,3.9375,0.12075275927782059
midday,noon,8.9375,0.3784521818161011
mile,kilometer,6.9375,0.35555168986320496
minister,party,3.0625,0.19955949485301971
ministry,culture,2.844,0.23885701596736908
minority,peace,1.1875,0.016353163868188858
money,bank,6.0,0.13396750390529633
money,cash,8.875,0.36407560110092163
money,cash,9.0315,0.36407560110092163
money,currency,7.9375,0.11988980323076248
money,deposit,5.375,0.06560837477445602
money,dollar,7.6875,0.221744105219841
money,laundering,4.4565,0.08447844535112381
money,operation,1.875,0.2458479404449463
money,possession,4.3125,0.31238335371017456
money,property,5.0625,0.3787487745285034
money,wealth,7.0625,0.2026384025812149
money,withdrawal,4.0625,0.22279059886932373
monk,slave,2.5625,0.2442193478345871
month,hotel,1.0625,0.17636911571025848
morality,importance,2.5,0.1646614968776703
morality,marriage,2.375,0.09078633040189743
movie,critic,3.1875,0.2537815570831299
movie,star,4.3125,0.14511112868785858
movie,theater,6.125,0.1917814165353775
murder,manslaughter,7.5,0.23391644656658173
museum,theater,3.875,0.3122566342353821
music,project,3.1875,0.15641900897026062
nature,environment,6.9375,0.26778489351272583
nature,man,2.9375,0.10680598765611649
network,hardware,3.8125,0.19703054428100586
news,report,6.8125,0.3497994840145111
noon,string,0.6875,0.11551482230424881
observation,architecture,1.875,0.0705597922205925
oil,stock,2.9375,0.26625317335128784
opera,industry,1.194,0.0928526520729065
opera,performance,4.875,0.09537584334611893
peace,atmosphere,2.1875,0.14275990426540375
peace,insurance,1.7565,0.05783500522375107
peace,plan,1.5,0.18085898458957672
phone,equipment,4.0315,-0.006775255315005779
physics,chemistry,5.0625,0.29243093729019165
physics,proton,6.125,0.25828874111175537
plane,car,3.5625,0.38234445452690125
planet,galaxy,6.125,0.21262970566749573
planet,moon,6.0,0.21950046718120575
planet,people,3.375,0.17246165871620178
planet,space,5.3125,0.15175513923168182
planet,star,5.625,0.025324564427137375
planet,sun,5.8125,0.2139233946800232
population,development,3.4755,0.27717098593711853
possibility,girl,1.069,0.23050948977470398
practice,institution,3.5625,0.14650379121303558
precedent,collection,1.0625,0.12634234130382538
precedent,example,5.4375,0.2331257462501526
precedent,group,1.5625,0.0738946869969368
precedent,information,2.375,0.263802170753479
precedent,law,4.375,0.05623706430196762
prejudice,recognition,3.3125,0.2056257128715515
preservation,world,2.4375,0.1266373097896576
president,medal,1.25,0.16928112506866455
problem,airport,1.3125,0.043516289442777634
problem,challenge,6.875,0.23775047063827515
production,crew,3.1875,0.02910696715116501
production,hike,0.9375,0.08023224771022797
professor,doctor,6.125,0.32675981521606445
profit,loss,3.875,0.1421639770269394
profit,warning,1.6875,0.024313949048519135
psychology,anxiety,3.75,0.2396213710308075
psychology,clinic,4.344,-0.03523528203368187
psychology,depression,5.25,0.15462373197078705
psychology,discipline,3.3125,0.26529553532600403
psychology,doctor,5.294,0.0709427148103714
psychology,fear,3.1875,0.14831849932670593
psychology,Freud,5.6875,0.15524506568908691
psychology,health,4.3625,0.1666974127292633
psychology,mind,5.4375,0.15370948612689972
psychology,psychiatry,6.9375,0.42747923731803894
psychology,science,5.9505,0.25726795196533203
reason,criterion,4.625,0.11752840876579285
record,number,3.5,0.11898422241210938
registration,arrangement,3.4375,0.07462567090988159
report,gain,2.25,0.15103256702423096
rock,jazz,5.5,0.09868354350328445
rooster,voyage,0.9375,0.14038842916488647
school,center,3.875,0.1907700151205063
seafood,food,6.875,-0.002292897552251816
seafood,sea,5.375,0.07916419208049774
secretary,senate,3.75,0.34567931294441223
seven,series,2.25,0.2016613781452179
shower,flood,3.5625,0.13900704681873322
situation,conclusion,3.5625,0.2590900659561157
situation,isolation,1.9375,0.2510046660900116
size,prominence,3.75,0.13171587884426117
skin,eye,2.75,0.33615222573280334
smart,student,3.625,0.08837244659662247
smart,stupid,3.25,0.21212342381477356
