Word 1,Word 2,Human (Mean),Cosine Similarity
admission,ticket,5.536,0.05656606703996658
alcohol,chemistry,4.125,0.22648781538009644
aluminum,metal,6.625,0.20572322607040405
announcement,effort,2.0625,0.05619485676288605
announcement,news,7.1875,0.257438600063324
announcement,production,1.6875,0.0695316419005394
announcement,warning,4.625,0.12875451147556305
architecture,century,1.929,0.1493486762046814
arrival,hotel,2.1875,0.159772127866745
atmosphere,landscape,3.5625,0.2350444197654724
attempt,peace,0.9375,0.16946442425251007
baby,mother,5.25,0.1941591501235962
bank,money,6.625,0.15379905700683594
baseball,season,3.2565,0.13374309241771698
bed,closet,2.25,0.1957332193851471
bird,cock,5.875,0.1614919900894165
bird,crane,4.8125,0.2759643793106079
bishop,rabbi,5.375,0.23890674114227295
board,recommendation,1.25,0.23568062484264374
book,library,5.3125,0.08741448074579239
book,paper,5.875,-0.005129708908498287
boy,lad,7.844,0.2300449013710022
bread,butter,4.1875,0.4610104560852051
brother,monk,4.25,0.19889339804649353
calculation,computation,8.0565,0.12610448896884918
canyon,landscape,5.25,0.21628393232822418
car,automobile,9.369,0.17985303699970245
car,flight,2.4375,0.04603002220392227
cell,phone,6.25,0.059959687292575836
century,nation,2.1875,0.19435139000415802
century,year,4.0,0.12394649535417557
championship,tournament,7.5,0.3120187222957611
change,attitude,3.375,0.17494936287403107
chord,smile,0.8125,0.11468742787837982
closet,clothes,4.625,0.2791023850440979
coast,forest,2.125,0.1421661376953125
coast,hill,2.3125,0.1420513242483139
coast,shore,8.2755,0.23100638389587402
company,stock,3.75,0.16504718363285065
competition,price,3.0,0.21991927921772003
computer,keyboard,5.9375,0.10969271510839462
computer,laboratory,3.375,0.16804759204387665
computer,news,1.6875,0.1553974747657776
concert,virtuoso,3.6875,0.10867156088352203
consumer,confidence,1.6875,0.05509334057569504
consumer,energy,2.75,0.07666797190904617
country,citizen,4.3125,-0.027546284720301628
crane,implement,2.125,-0.005598089657723904
credit,card,4.5625,0.1453142762184143
credit,information,3.644,0.1819983571767807
cup,article,1.3125,0.10692083090543747
cup,coffee,5.0625,0.4084897041320801
cup,drink,4.75,0.298137903213501
cup,entity,1.375,0.08234082907438278
cup,food,1.875,0.040874529629945755
cup,liquid,3.75,0.21162056922912598
cup,object,4.25,0.03326018154621124
cup,substance,1.9375,0.08374010771512985
currency,market,4.3125,0.11951400339603424
day,dawn,4.625,0.11370644718408585
day,summer,3.125,0.2022777795791626
death,row,1.6875,0.00941466074436903
delay,news,1.4375,0.15477420389652252
development,issue,3.3125,0.026317860931158066
direction,combination,2.0625,0.05346069484949112
disability,death,2.3125,0.03297172114253044
disaster,area,1.625,0.03590288758277893
discovery,space,3.9375,0.04863525554537773
dividend,calculation,5.1875,0.0881955549120903
dividend,payment,5.5,0.25567421317100525
doctor,liability,2.5,0.12449217587709427
doctor,nurse,6.125,0.11614204943180084
doctor,personnel,3.5625,0.05777963623404503
dollar,buck,8.5625,0.011936682276427746
dollar,loss,2.1875,0.0825842097401619
dollar,profit,5.375,0.10537064075469971
dollar,yen,6.3125,0.11294421553611755
drink,car,0.3125,0.12479992210865021
drink,ear,0.375,0.2066122144460678
drink,eat,4.125,0.2586493492126465
drink,mother,0.5625,0.12905706465244293
drink,mouth,4.7375,0.20531800389289856
drug,abuse,4.9375,0.12062650918960571
energy,crisis,3.0505,0.013993513770401478
energy,laboratory,2.7565,0.13159425556659698
energy,secretary,1.0625,0.06469862908124924
equipment,maker,2.5625,0.17540955543518066
experience,music,2.3125,0.1299418956041336
family,planning,1.75,0.07960473001003265
FBI,fingerprint,4.0625,0.13091185688972473
FBI,investigation,5.0625,0.11731871962547302
fertility,egg,5.1875,0.07497462630271912
