Word1,Word2,Human_Score,Computed_Similarity
admission,ticket,5.536,-0.07262400537729263
alcohol,chemistry,4.125,0.041532259434461594
aluminum,metal,6.625,0.001426699454896152
announcement,effort,2.0625,-0.018284166231751442
announcement,news,7.1875,0.1449221521615982
announcement,production,1.6875,-0.03492901846766472
announcement,warning,4.625,0.12200185656547546
architecture,century,1.929,-0.007170073222368956
arrival,hotel,2.1875,0.033809877932071686
atmosphere,landscape,3.5625,0.046011749655008316
attempt,peace,0.9375,0.039693377912044525
baby,mother,5.25,0.15226319432258606
bank,money,6.625,0.14543431997299194
baseball,season,3.2565,0.14485740661621094
bed,closet,2.25,0.05941992998123169
bird,cock,5.875,0.06859412789344788
bird,crane,4.8125,0.06729460507631302
bishop,rabbi,5.375,0.09038622677326202
board,recommendation,1.25,0.009529259987175465
book,library,5.3125,0.02734282612800598
book,paper,5.875,0.09371917694807053
boy,lad,7.844,0.021721120923757553
bread,butter,4.1875,0.12085417658090591
brother,monk,4.25,-0.05845547839999199
calculation,computation,8.0565,0.045217160135507584
canyon,landscape,5.25,0.010560010559856892
car,automobile,9.369,0.07243898510932922
car,flight,2.4375,-0.026052037253975868
cell,phone,6.25,0.13340428471565247
century,nation,2.1875,0.07746226340532303
century,year,4.0,0.13161449134349823
championship,tournament,7.5,0.007047181949019432
change,attitude,3.375,0.12708325684070587
chord,smile,0.8125,-0.05865975841879845
closet,clothes,4.625,0.09191425144672394
coast,forest,2.125,0.007191545329988003
coast,hill,2.3125,0.11574900150299072
coast,shore,8.2755,0.20416337251663208
company,stock,3.75,0.10193109512329102
competition,price,3.0,0.06939766556024551
computer,keyboard,5.9375,-0.0162538792937994
computer,laboratory,3.375,-0.060797031968832016
computer,news,1.6875,0.0074853477999567986
concert,virtuoso,3.6875,-0.060005854815244675
consumer,confidence,1.6875,-0.1743893176317215
consumer,energy,2.75,-0.018034517765045166
country,citizen,4.3125,0.04424050450325012
crane,implement,2.125,0.0566767118871212
credit,card,4.5625,0.03132011368870735
credit,information,3.644,0.024477556347846985
cup,article,1.3125,0.12385144829750061
cup,coffee,5.0625,0.3216041922569275
cup,drink,4.75,0.18983708322048187
cup,entity,1.375,0.02955382876098156
cup,food,1.875,0.10022060573101044
cup,liquid,3.75,0.05980091542005539
cup,object,4.25,0.04718271642923355
cup,substance,1.9375,0.014979380182921886
currency,market,4.3125,0.014129110611975193
day,dawn,4.625,0.08380468189716339
day,summer,3.125,0.23427651822566986
death,row,1.6875,0.039261601865291595
delay,news,1.4375,0.001702645211480558
development,issue,3.3125,-0.03560412675142288
direction,combination,2.0625,-0.0016465819207951427
disability,death,2.3125,-0.027431223541498184
disaster,area,1.625,-0.08371759951114655
discovery,space,3.9375,0.06806369870901108
dividend,calculation,5.1875,-0.04781891778111458
dividend,payment,5.5,-0.005529877729713917
doctor,liability,2.5,0.01681653968989849
doctor,nurse,6.125,0.07390892505645752
doctor,personnel,3.5625,0.005770058836787939
dollar,buck,8.5625,-0.07741191238164902
dollar,loss,2.1875,-0.07006864249706268
dollar,profit,5.375,0.10224097967147827
dollar,yen,6.3125,0.1735406517982483
drink,car,0.3125,0.05943174660205841
drink,ear,0.375,0.16048696637153625
drink,eat,4.125,0.21164153516292572
drink,mother,0.5625,0.17359232902526855
drink,mouth,4.7375,0.10125714540481567
drug,abuse,4.9375,0.003410682547837496
energy,crisis,3.0505,-0.028239276260137558
energy,laboratory,2.7565,0.031377095729112625
energy,secretary,1.0625,-0.013620470650494099
equipment,maker,2.5625,-0.017691265791654587
experience,music,2.3125,0.011790313757956028
family,planning,1.75,0.06616513431072235
FBI,fingerprint,4.0625,0.21256044507026672
FBI,investigation,5.0625,0.0007193032652139664
fertility,egg,5.1875,-0.057458147406578064
fighting,defeating,5.5,-0.0212215855717659
five,month,1.069,0.1720726191997528
focus,life,2.3125,0.028014685958623886
food,fruit,7.0625,0.13686512410640717
food,preparation,3.75,-0.046382155269384384
food,rooster,2.5625,-0.0545407235622406
football,basketball,4.125,0.02536941133439541
football,soccer,8.5625,0.04136276990175247
football,tennis,3.6875,0.16795244812965393
forest,graveyard,1.394,-0.01723506487905979
fuck,sex,8.25,0.07881541550159454
furnace,stove,8.0625,0.02319423109292984
game,defeat,3.6875,0.1225142553448677
game,round,5.1875,0.14820709824562073
game,series,4.5625,0.044327639043331146
game,team,4.625,0.04194723442196846
game,victory,4.6875,0.2297137975692749
glass,magician,1.0,-0.08281337469816208
glass,metal,2.1875,0.09354183077812195
government,crisis,3.625,-0.010453577153384686
governor,interview,1.625,-0.011340301483869553
governor,office,4.3125,0.08025167137384415
grocery,money,3.375,0.016614792868494987
Harvard,Yale,4.875,0.12918885052204132
holy,sex,1.069,-0.03872351720929146
hotel,reservation,5.0625,-0.004478840157389641
hundred,percent,4.4375,0.18178249895572662
image,surface,1.8125,-0.05447303131222725
investigation,effort,3.75,0.13070659339427948
jaguar,car,5.3125,0.0301391389220953
jaguar,cat,6.4375,-0.05716414377093315
Japanese,American,3.125,0.004671292379498482
Jerusalem,Israel,6.4375,0.020056800916790962
journal,association,2.625,0.001913637388497591
journey,car,4.0625,0.035288505256175995
journey,voyage,7.5,0.09400153905153275
king,cabbage,0.625,-0.024367641657590866
king,queen,5.6875,0.0597221702337265
lad,brother,4.9375,-0.0454276017844677
lad,wizard,1.6875,0.041800402104854584
law,lawyer,6.1875,0.10491202771663666
lawyer,evidence,3.9375,-0.059706639498472214
liability,insurance,4.375,0.15704791247844696
life,death,4.375,-0.026155563071370125
life,lesson,3.1875,0.06635729223489761
life,term,3.8125,0.04925660043954849
line,insurance,1.3125,-0.12935999035835266
liquid,water,7.0625,0.0950428768992424
listing,category,5.375,0.055644288659095764
listing,proximity,1.4375,-0.0158302690833807
love,sex,6.375,0.11130703240633011
lover,quarrel,1.6875,-0.09886807203292847
luxury,car,3.3125,0.08246568590402603
magician,wizard,7.6875,-0.07128719240427017
man,governor,4.25,-0.014625600539147854
man,woman,4.5,0.044644176959991455
Mars,scientist,4.375,-0.03461601957678795
Mars,water,1.5625,0.030624711886048317
media,gain,1.375,0.02145633101463318
media,radio,6.4375,-0.010626289062201977
media,trading,1.8125,0.07990577816963196
Mexico,Brazil,3.9375,-0.08340847492218018
midday,noon,8.9375,0.08082156628370285
